3674822,Ẓriɣ dacu ara d-tiniḍ.,3674816,Je sais ce que tu vas dire.
3675223,Ɣur-went sebεa warrac.,3675232.0,Vous avez sept enfants.
3675258,Teddewweṛ udem-is.,180773.0,Elle détourna le regard.
3679112,Isem-iw Yuba.,3680113.0,Je m'appelle Juba.
5507968,Aql-aɣ nɛeṭṭel.,780903.0,Nous sommes en retard.
5507973,Aql-ik tɛeṭṭleḍ.,1407088.0,Tu es en retard.
5508028,Azul umelyaṛ i iheddṛen taglizit.,5508033.0,L'anglais est parlé par environ un milliard de personnes.
6709887,Kker !,135578.0,Debout !
6709915,Tɛeqqlem albaɛḍ ?,2099456.0,Reconnaissez-vous qui que ce soit ?
6709916,Tɛeqqleḍ albaɛḍ ?,2099456.0,Reconnaissez-vous qui que ce soit ?
6711987,"Baba d aɣezzfan, d azuran, d aras, ma d yemma d tawezzlant,d tacebḥant, d tarqaqt.",6711814.0,"Mon père est grand, gros et brun, et ma mère petite, blonde et mince."
6711988,"Suref-iyi, wi ik-ilan ?",6711709.0,"Pardon, qui es-tu ?"
6711989,Tettmeslayeḍ s tefransist ?,6710997.0,Parlez-vous français ?
6711990,Tettmeslayem s tefransist ?,6710997.0,Parlez-vous français ?
6711991,Nekk isem-iw Tom. Massa Fisher d weltma.,6710927.0,Je m'appelle Tom. Mademoiselle Fischer est ma sœur.
6712002,Nekk xeddmeɣ akked Massa Marie Fisher.,6710916.0,Je suis un collègue de mademoiselle Marie Fischer.
6712003,Tameṭṭut adi d yemma.,6710912.0,La petite dame là-bas est ma mère.
6712004,Tameṭṭut ihin d yemma.,6710912.0,La petite dame là-bas est ma mère.
6712009,Tezram ayen la yettadṣa Tom ?,6710909.0,Savez-vous pourquoi Tom rit ?
6712016,Icebbayi rebbi wagi d amdakel n massa Schmitt.,6710708.0,Je crois que c'est un ami de mademoiselle Schmitt.
6712017,Waqil wagi d amdakel n massa Schmitt.,6710708.0,Je crois que c'est un ami de mademoiselle Schmitt.
6712021,Ssaram-aɣ tḥemmel aya.,6710654.0,J'espère qu'elle aime ça.
6712022,Awen-d heggiɣ ayen ad teččem.,6710637.0,Je vais vous préparer quelque chose à manger.
6712023,Ag_d heggiɣ ayen ad teččeḍ.,6710636.0,Je vais te préparer quelque chose à manger.
6712027,"Ur tesɛam ara niyya deg ulawen, ɣurwen tayri d urar anda tettkellixem yal-ass.",6710604.0,Vous n’avez rien d’honnête au cœur. Pour vous l’amour est un jeu où vous trichez toujours.
6712028,Tcukkeḍ deg uḥemmel-inu?,6710599.0,Doutez-vous de mon amour ?
6712029,"Ma yella texdeɛ-ik, ur k-tuklal ara!",6710583.0,"Si elle te trompe, elle est indigne de toi !"
6712031,"Zzεaf-nni yakk yekkes-iyi, tuɣal-iyi-d teḍsa.",6710580.0,"Toute ma colère tomba, je retrouvai mon sourire."
6712032,Akka tura d yiwet seg tlawin icebḥen di Lpari merra.,6710578.0,Elle passe encore aujourd’hui pour une des belles femmes de Paris.
6712039,"Am ilmeẓyen akk, ḥemmleɣ tameṭṭut i y-iɣelben s setta iseggasen.",6710571.0,"Comme tous les jeunes gens, j’aimais une femme de six ans plus âgée que moi."
6712040,Ḥemmleɣ i tikelt tamezwarut.,6710569.0,J'aimais pour la première fois.
6712042,Ad d-yewwet udfel deg uzgen n ddurt i d-iteddun.,6710567.0,Des chutes de neige sont attendues en milieu de semaine prochaine.
6712043,Ad d-yuɣal udfel di tazwara n ddurt i d-iteddun.,6710566.0,De nouvelles chutes de neige sont attendues en début de semaine prochaine.
6712049,Arǧu ! Aqliyin !,6710356.0,Attends ! Je viens tout de suite !
6712050,Yelli mazal-itt mecṭuḥet.,6710338.0,Ma fille est encore petite.
6712052,Yelli mazal-itt meẓẓiyet.,6710338.0,Ma fille est encore petite.
6712053,Yemma-s n Sami tɛawed zwaǧǧ.,6710328.0,La mère de Sami s'est remariée.
6712055,Anda yella Tom ? - Atan deg uxxam.,6710327.0,« Où est Tom ? » – « Il est à la maison. »
6712058,Ad tedduḍ yid-i ɣer lqahwa ?,6710314.0,Viens-tu avec moi au café ?
6712059,Marie la tess lgazuz.,6710308.0,Marie boit une limonade.
6712061,Dagi i tettilim ?,6710289.0,Vous êtes souvent ici ?
6712063,Amek it-ga latay agi ?,6710250.0,Comment est le thé ?
6712065,"Nekk isem-iw Marie, i kečč ?",6710216.0,"Je m'appelle Marie, et comment vous appelez-vous ?"
6712066,"Nekk isem-iw Marie, i kemm ?",6710216.0,"Je m'appelle Marie, et comment vous appelez-vous ?"
6712068,Amdakel n Tom isem-is Pierre.,6710206.0,L'ami de Tom s'appelle Pierre.
6712069,Anwa d amdakel n Marie ?,6710200.0,Qui est l'amie de Marie ?
6712071,Ayen ur sɛiɣ ḥedd ?,6710193.0,Pourquoi suis-je seul ?
6712077,Tesɛam ẓẓher?,6710163.0,Avez-vous de la chance ?
6712080,"Aḍummu n terkabin, ibeddu s uwessawen.",6709999.0,Un escalier se balaie en commençant par le haut.
6712093,Sami ur yezmir ara ad ibeggen aya.,6709944.0,Sami ne peut pas le prouver.
6712095,Sami teɣlid fella-s teddarɣelt d tiɛẓegt.,6709937.0,Sami devint subitement aveugle et sourd.
6712099,Nttarḍal kan i-y-imerkantiyen.,6709923.0,On ne prête qu'aux riches.
6712102,Ur semḥas ara yark iwayen id yeqqar.,1593.0,Ne tenez aucun compte de ce qu'il dit.
6717084,Ffeɣ.,9480.0,Sors.
6717092,Ṭṭfet.,15111.0,Tenez.
6717111,Ssers iman-ik !,1083768.0,Relaxe !
6717112,Ali.,1111572.0,Monte.
6717119,Alit.,1111573.0,Montez.
6717127,Ffeɣ !,1157665.0,Sors !
6717160,Ffeɣt-iyi.,1157669.0,Sortez !
6717187,Ffeɣ-iyi syagi !,1183771.0,Dégage !
6717239,Ruḥ si ger wallen-iw !,1312667.0,Disparais !
6717242,Ruḥ ur-k ttwaliɣ ara !,1312667.0,Disparais !
6717314,Uɣalet ɣer deffir !,1902587.0,Reculez !
6717319,Aha-san !,1996167.0,Allez !
